domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,SIRFER ID
D02,1/8/26,D0220260108115500377,malinsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Overnight,# 4891 6365 5680,N,NEON.ltr.BLAN.2025.flr.cn,A00000474717,ltr_chemistrySubsampling_in.cnSampleID,N,BLAN,8/26/25,,26-014.1
D02,1/8/26,D0220260108115500377,malinsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Overnight,# 4891 6365 5680,N,NEON.ltr.BLAN.2025.mxt.cn,A00000473949,ltr_chemistrySubsampling_in.cnSampleID,N,BLAN,8/26/25,,26-014.2
D02,1/8/26,D0220260108115500377,malinsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Overnight,# 4891 6365 5680,N,NEON.ltr.BLAN.2025.oth.cn,A00000474715,ltr_chemistrySubsampling_in.cnSampleID,N,BLAN,4/22/25,,26-014.3
D02,1/8/26,D0220260108115500377,malinsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Overnight,# 4891 6365 5680,N,NEON.ltr.BLAN.2025.sds.cn,A00000473946,ltr_chemistrySubsampling_in.cnSampleID,N,BLAN,10/21/25,,26-014.4
D02,1/8/26,D0220260108115500377,malinsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Overnight,# 4891 6365 5680,N,NEON.ltr.BLAN.2025.twi.cn,A00000474701,ltr_chemistrySubsampling_in.cnSampleID,N,BLAN,4/22/25,,26-014.5
D02,1/8/26,D0220260108115500377,malinsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Overnight,# 4891 6365 5680,N,NEON.ltr.BLAN.2025.wdy.cn,A00000474702,ltr_chemistrySubsampling_in.cnSampleID,N,BLAN,4/22/25,,26-014.6
D02,1/8/26,D0220260108115500377,malinsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Overnight,# 4891 6365 5680,N,NEON.ltr.BLAN032.20251021.lvs.cn,A00000473932,ltr_chemistrySubsampling_in.cnSampleID,N,BLAN,10/21/25,,26-014.7
D02,1/8/26,D0220260108115500377,malinsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Overnight,# 4891 6365 5680,N,NEON.ltr.BLAN035.20251021.lvs.cn,A00000473930,ltr_chemistrySubsampling_in.cnSampleID,N,BLAN,10/21/25,,26-014.8
D02,1/8/26,D0220260108115500377,malinsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Overnight,# 4891 6365 5680,N,NEON.ltr.BLAN035.20251021.ndl.cn,A00000474718,ltr_chemistrySubsampling_in.cnSampleID,N,BLAN,10/21/25,,26-014.9
D02,1/8/26,D0220260108115500377,malinsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Overnight,# 4891 6365 5680,N,NEON.ltr.BLAN036.20251021.lvs.cn,A00000473931,ltr_chemistrySubsampling_in.cnSampleID,N,BLAN,10/21/25,,26-014.10
D02,1/8/26,D0220260108115500377,malinsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Overnight,# 4891 6365 5680,N,NEON.ltr.BLAN044.20251021.lvs.cn,A00000473929,ltr_chemistrySubsampling_in.cnSampleID,N,BLAN,10/21/25,,26-014.11
D02,1/8/26,D0220260108115500377,malinsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Overnight,# 4891 6365 5680,N,NEON.ltr.BLAN047.20251021.lvs.cn,A00000473918,ltr_chemistrySubsampling_in.cnSampleID,N,BLAN,10/21/25,,26-014.12
