domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,containerLocation,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,SIRFER ID
D03,2/12/25,D032025021291856385,iwaniec@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772033200896,N,A00000185203,A1,BBC.JERC047038.2024.0-1.POOL.CN,A00000184969,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,JERC_047.basePlot.bbc,2024-08-19T18:00,,25-065.1
D03,2/12/25,D032025021291856385,iwaniec@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772033200896,N,A00000185203,A10,BBC.JERC048529.2024.0-1.POOL.CN,A00000185040,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,JERC_048.basePlot.bbc,2024-08-20T10:11,,25-065.2
D03,2/12/25,D032025021291856385,iwaniec@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772033200896,N,A00000185203,A2,BBC.JERC047038.2024.1-2.POOL.CN,A00000185028,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,JERC_047.basePlot.bbc,2024-08-19T18:00,,25-065.3
D03,2/12/25,D032025021291856385,iwaniec@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772033200896,N,A00000185203,A3,BBC.JERC047038.2024.2-10.POOL.CN,A00000185029,bbc_chemistryPooling_in.cnSampleID,standardSample,JERC_047.basePlot.bbc,2024-08-19T18:00,,25-065.4
D03,2/12/25,D032025021291856385,iwaniec@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772033200896,N,A00000185203,A4,BBC.JERC047352.2024.0-1.POOL.CN,A00000185030,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,JERC_047.basePlot.bbc,2024-08-19T17:35,,25-065.5
D03,2/12/25,D032025021291856385,iwaniec@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772033200896,N,A00000185203,A5,BBC.JERC047352.2024.1-2.POOL.CN,A00000185031,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,JERC_047.basePlot.bbc,2024-08-19T17:35,,25-065.6
D03,2/12/25,D032025021291856385,iwaniec@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772033200896,N,A00000185203,A6,BBC.JERC047352.2024.2-10.POOL.CN,A00000185032,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,JERC_047.basePlot.bbc,2024-08-19T17:35,,25-065.7
D03,2/12/25,D032025021291856385,iwaniec@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772033200896,N,A00000185203,A7,BBC.JERC048070.2024.0-1.POOL.CN,A00000185033,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,JERC_048.basePlot.bbc,2024-08-20T10:23,,25-065.8
D03,2/12/25,D032025021291856385,iwaniec@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772033200896,N,A00000185203,A8,BBC.JERC048070.2024.1-2.POOL.CN,A00000185034,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,JERC_048.basePlot.bbc,2024-08-20T10:23,,25-065.9
D03,2/12/25,D032025021291856385,iwaniec@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772033200896,N,A00000185203,A9,BBC.JERC048070.2024.2-10.POOL.CN,A00000185035,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,JERC_048.basePlot.bbc,2024-08-20T10:23,,25-065.10
