domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA041139.2025.0-1.POOL.CN,A00000365679,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_041.basePlot.bbc,2025-10-09T10:54,,,26-017.1
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA041139.2025.1-2.POOL.CN,A00000365686,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_041.basePlot.bbc,2025-10-09T10:54,,,26-017.2
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA041139.2025.2-10.POOL.CN,A00000365687,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_041.basePlot.bbc,2025-10-09T10:54,,,26-017.3
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA042082.2025.0-1.POOL.CN,A00000365666,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_042.basePlot.bbc,2025-10-13T10:40,,,26-017.4
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA042082.2025.1-2.POOL.CN,A00000365670,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_042.basePlot.bbc,2025-10-13T10:40,,,26-017.5
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA043163.2025.0-1.POOL.CN,A00000365659,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_043.basePlot.bbc,2025-10-13T09:49,,,26-017.6
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA043163.2025.1-2.POOL.CN,A00000365676,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_043.basePlot.bbc,2025-10-13T09:49,,,26-017.7
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA044148.2025.0-1.POOL.CN,A00000365650,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_044.basePlot.bbc,2025-10-29T10:30,,,26-017.8
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA044148.2025.1-2.POOL.CN,A00000365651,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_044.basePlot.bbc,2025-10-29T10:30,,,26-017.9
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA045057.2025.0-1.POOL.CN,A00000365678,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_045.basePlot.bbc,2025-10-15T10:48,,,26-017.10
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA045057.2025.1-2.POOL.CN,A00000365701,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_045.basePlot.bbc,2025-10-15T10:48,,,26-017.11
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA046100.2025.0-1.POOL.CN,A00000365664,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_046.basePlot.bbc,2025-10-15T08:50,,,26-017.12
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA047069.2025.0-1.POOL.CN,A00000365704,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_047.basePlot.bbc,2025-10-09T08:30,,,26-017.13
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA048029.2025.0-1.POOL.CN,A00000365660,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_048.basePlot.bbc,2025-10-22T08:23,,,26-017.14
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA048029.2025.1-2.POOL.CN,A00000365691,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_048.basePlot.bbc,2025-10-22T08:23,,,26-017.15
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA049198.2025.0-1.POOL.CN,A00000365692,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_049.basePlot.bbc,2025-10-13T08:58,,,26-017.16
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA049198.2025.1-2.POOL.CN,A00000365674,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_049.basePlot.bbc,2025-10-13T08:58,,,26-017.17
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA050204.2025.0-1.POOL.CN,A00000365681,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_050.basePlot.bbc,2025-10-09T09:30,,,26-017.18
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA050204.2025.1-2.POOL.CN,A00000365682,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_050.basePlot.bbc,2025-10-09T09:30,,,26-017.19
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA051092.2025.0-1.POOL.CN,A00000365654,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_051.basePlot.bbc,2025-10-15T09:27,,,26-017.20
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA051092.2025.1-2.POOL.CN,A00000365684,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_051.basePlot.bbc,2025-10-15T09:27,,,26-017.21
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA052083.2025.0-1.POOL.CN,A00000365663,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_052.basePlot.bbc,2025-10-16T11:51,,,26-017.22
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA052083.2025.1-2.POOL.CN,A00000365707,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_052.basePlot.bbc,2025-10-16T11:51,,,26-017.23
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA053029.2025.0-1.POOL.CN,A00000365648,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_053.basePlot.bbc,2025-10-22T09:36,,,26-017.24
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA053029.2025.1-2.POOL.CN,A00000365669,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_053.basePlot.bbc,2025-10-22T09:36,,,26-017.25
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA054046.2025.0-1.POOL.CN,A00000365646,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_054.basePlot.bbc,2025-10-09T07:45,,,26-017.26
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA054046.2025.1-2.POOL.CN,A00000365668,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_054.basePlot.bbc,2025-10-09T07:45,,,26-017.27
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA055022.2025.0-1.POOL.CN,A00000365662,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_055.basePlot.bbc,2025-10-22T09:27,,,26-017.28
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA055022.2025.1-2.POOL.CN,A00000365683,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_055.basePlot.bbc,2025-10-22T09:27,,,26-017.29
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA056198.2025.0-1.POOL.CN,A00000365656,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_056.basePlot.bbc,2025-10-13T10:15,,,26-017.30
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA056198.2025.1-2.POOL.CN,A00000365667,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_056.basePlot.bbc,2025-10-13T10:15,,,26-017.31
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA057092.2025.0-1.POOL.CN,A00000365672,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_057.basePlot.bbc,2025-10-15T12:16,,,26-017.32
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA057092.2025.1-2.POOL.CN,A00000365673,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_057.basePlot.bbc,2025-10-15T12:16,,,26-017.33
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA058070.2025.0-1.POOL.CN,A00000365655,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_058.basePlot.bbc,2025-10-16T12:39,,,26-017.34
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA058070.2025.1-2.POOL.CN,A00000365703,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_058.basePlot.bbc,2025-10-16T12:39,,,26-017.35
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA059179.2025.0-1.POOL.CN,A00000365657,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_059.basePlot.bbc,2025-10-15T10:22,,,26-017.36
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA059179.2025.1-2.POOL.CN,A00000365677,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_059.basePlot.bbc,2025-10-15T10:22,,,26-017.37
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA060029.2025.0-1.POOL.CN,A00000365645,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_060.basePlot.bbc,2025-10-22T08:06,,,26-017.38
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA060029.2025.1-2.POOL.CN,A00000365675,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_060.basePlot.bbc,2025-10-22T08:06,,,26-017.39
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA061192.2025.0-1.POOL.CN,A00000365653,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_061.basePlot.bbc,2025-10-09T10:00,,,26-017.40
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA061192.2025.1-2.POOL.CN,A00000365680,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_061.basePlot.bbc,2025-10-09T10:00,,,26-017.41
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA062044.2025.0-1.POOL.CN,A00000365649,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_062.basePlot.bbc,2025-10-29T08:16,,,26-017.42
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA062044.2025.1-2.POOL.CN,A00000365671,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_062.basePlot.bbc,2025-10-29T08:16,,,26-017.43
D04,1/5/26,D0420260105104425799,amegill@battelleecology.org,SIRFER Lab at University of Utah,UPS,Overnight,# 1Z097EV90156801960,N,A00000365533,BBC.LAJA063160.2025.0-1.POOL.CN,A00000365665,bbc_chemistryPooling_in.cnSampleID,standardSample,LAJA_063.basePlot.bbc,2025-10-15T11:39,,,26-017.44
