domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP061006.2025.0-1.POOL.CN,B00000198831,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_061.basePlot.bbc,2025-08-27T08:16,,,26-058.1
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP061006.2025.1-2.POOL.CN,B00000198841,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_061.basePlot.bbc,2025-08-27T08:16,,,26-058.2
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP061006.2025.2-10.POOL.CN,B00000198851,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_061.basePlot.bbc,2025-08-27T08:16,,,26-058.3
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP062072.2025.0-1.POOL.CN,B00000198845,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_062.basePlot.bbc,2025-08-26T09:21,,,26-058.4
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP062072.2025.1-2.POOL.CN,B00000198835,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_062.basePlot.bbc,2025-08-26T09:21,,,26-058.5
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP062072.2025.2-10.POOL.CN,B00000198823,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_062.basePlot.bbc,2025-08-26T09:21,,,26-058.6
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP064140.2025.0-1.POOL.CN,B00000198857,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_064.basePlot.bbc,2025-08-26T14:03,,,26-058.7
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP064140.2025.1-2.POOL.CN,B00000198815,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_064.basePlot.bbc,2025-08-26T14:03,,,26-058.8
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP064140.2025.2-10.POOL.CN,B00000198867,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_064.basePlot.bbc,2025-08-26T14:03,,,26-058.9
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP065066.2025.0-1.POOL.CN,B00000198865,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_065.basePlot.bbc,2025-08-26T16:14,,,26-058.10
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP065066.2025.1-2.POOL.CN,B00000198855,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_065.basePlot.bbc,2025-08-26T16:14,,,26-058.11
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP065066.2025.2-10.POOL.CN,B00000198808,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_065.basePlot.bbc,2025-08-26T16:14,,,26-058.12
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP066142.2025.0-1.POOL.CN,B00000198862,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_066.basePlot.bbc,2025-08-20T14:21,,,26-058.13
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP066142.2025.1-2.POOL.CN,B00000198852,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_066.basePlot.bbc,2025-08-20T14:21,,,26-058.14
D09,2/10/26,D0920260210162633150,wahl@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX13180391261037,N,A00000464609,BBC.NOGP066142.2025.2-10.POOL.CN,B00000198842,bbc_chemistryPooling_in.cnSampleID,standardSample,NOGP_066.basePlot.bbc,2025-08-20T14:21,,,26-058.15
