domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,SIRFER ID
D10,1/19/26,D1020260119135114107,kacmarsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 888035034676,N,A00000270577,NEON.ltr.RMNP.2025.flr.cn,A00000269590,ltr_chemistrySubsampling_in.cnSampleID,N,RMNP,8/4/25,,26-012.1
D10,1/19/26,D1020260119135114107,kacmarsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 888035034676,N,A00000270577,NEON.ltr.RMNP.2025.mxt.cn,A00000269441,ltr_chemistrySubsampling_in.cnSampleID,N,RMNP,9/1/25,,26-012.2
D10,1/19/26,D1020260119135114107,kacmarsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 888035034676,N,A00000270577,NEON.ltr.RMNP.2025.oth.cn,A00000270542,ltr_chemistrySubsampling_in.cnSampleID,N,RMNP,3/13/25,,26-012.3
D10,1/19/26,D1020260119135114107,kacmarsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 888035034676,N,A00000270577,NEON.ltr.RMNP.2025.sds.cn,A00000270558,ltr_chemistrySubsampling_in.cnSampleID,N,RMNP,9/1/25,,26-012.4
D10,1/19/26,D1020260119135114107,kacmarsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 888035034676,N,A00000270577,NEON.ltr.RMNP.2025.twi.cn,A00000270574,ltr_chemistrySubsampling_in.cnSampleID,N,RMNP,12/22/25,,26-012.5
D10,1/19/26,D1020260119135114107,kacmarsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 888035034676,N,A00000270577,NEON.ltr.RMNP.2025.wdy.cn,A00000270495,ltr_chemistrySubsampling_in.cnSampleID,N,RMNP,9/1/25,,26-012.6
D10,1/19/26,D1020260119135114107,kacmarsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 888035034676,N,A00000270577,NEON.ltr.RMNP041.20251027.lvs.cn,A00000269437,ltr_chemistrySubsampling_in.cnSampleID,N,RMNP,10/27/25,,26-012.7
D10,1/19/26,D1020260119135114107,kacmarsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 888035034676,N,A00000270577,NEON.ltr.RMNP041.20251027.ndl.cn,A00000270493,ltr_chemistrySubsampling_in.cnSampleID,N,RMNP,10/27/25,,26-012.8
D10,1/19/26,D1020260119135114107,kacmarsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 888035034676,N,A00000270577,NEON.ltr.RMNP042.20251027.ndl.cn,A00000270509,ltr_chemistrySubsampling_in.cnSampleID,N,RMNP,10/27/25,,26-012.9
D10,1/19/26,D1020260119135114107,kacmarsky@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 888035034676,N,A00000270577,NEON.ltr.RMNP043.20251027.ndl.cn,A00000270525,ltr_chemistrySubsampling_in.cnSampleID,N,RMNP,10/27/25,,26-012.10
