domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D11,8/12/24,D1120240812104411337,beckere@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777923395541,N,A00000278388,cfc.CLBJ001.CLIP-2.20240515.cn,A00000420579,cfc_chemistrySubsampling_in.cnSampleID,standardSample,CLBJ_001,2024-05-15T10:46,,,24-315.1
D11,8/12/24,D1120240812104411337,beckere@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777923395541,N,A00000278388,cfc.CLBJ001.QUMA3-1.20240515.cn,A00000420554,cfc_chemistrySubsampling_in.cnSampleID,standardSample,CLBJ_001,2024-05-15T10:46,,,24-315.2
D11,8/12/24,D1120240812104411337,beckere@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777923395541,N,A00000278388,cfc.CLBJ003.PRME-1.20240529.cn,A00000420581,cfc_chemistrySubsampling_in.cnSampleID,standardSample,CLBJ_003,2024-05-29T11:00,,,24-315.3
D11,8/12/24,D1120240812104411337,beckere@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777923395541,N,A00000278388,cfc.CLBJ005.CELA-1.20240529.cn,A00000420625,cfc_chemistrySubsampling_in.cnSampleID,standardSample,CLBJ_005,2024-05-29T12:25,,,24-315.4
D11,8/12/24,D1120240812104411337,beckere@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777923395541,N,A00000278388,cfc.CLBJ005.PODE3-1.20240524.cn,A00000420566,cfc_chemistrySubsampling_in.cnSampleID,standardSample,CLBJ_005,2024-05-24T13:19,,,24-315.5
D11,8/12/24,D1120240812104411337,beckere@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777923395541,N,A00000278388,cfc.CLBJ006.QUMA3-1.20240529.cn,A00000420583,cfc_chemistrySubsampling_in.cnSampleID,standardSample,CLBJ_006,2024-05-29T09:06,,,24-315.6
D11,8/12/24,D1120240812104411337,beckere@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777923395541,N,A00000278388,cfc.CLBJ014.JUVI-1.20240522.cn,A00000420573,cfc_chemistrySubsampling_in.cnSampleID,standardSample,CLBJ_014,2024-05-22T10:49,,,24-315.7
D11,8/12/24,D1120240812104411337,beckere@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777923395541,N,A00000278388,cfc.CLBJ021.CELA-1.20240524.cn,A00000420585,cfc_chemistrySubsampling_in.cnSampleID,standardSample,CLBJ_021,2024-05-24T11:49,,,24-315.8
D11,8/12/24,D1120240812104411337,beckere@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777923395541,N,A00000278388,cfc.CLBJ021.PRME-1.20240529.cn,A00000420548,cfc_chemistrySubsampling_in.cnSampleID,standardSample,CLBJ_021,2024-05-29T09:56,,,24-315.9
D11,8/12/24,D1120240812104411337,beckere@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777923395541,N,A00000278388,cfc.CLBJ022.JUVI-1.20240522.cn,A00000420571,cfc_chemistrySubsampling_in.cnSampleID,standardSample,CLBJ_022,2024-05-22T11:24,,,24-315.10
D11,8/12/24,D1120240812104411337,beckere@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777923395541,N,A00000278388,cfc.CLBJ022.QUSH-2.20240522.cn,A00000420560,cfc_chemistrySubsampling_in.cnSampleID,standardSample,CLBJ_022,2024-05-22T11:24,,,24-315.11
