domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,containerLocation,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D17,4/3/25,D1720250403134927140,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 8802 9895 1282,N,A00000399997,A1,BBC.SJER045350.2024.0-1.POOL.CN,A00000397241,bbc_chemistryPooling_in.cnSampleID,standardSample,SJER_045.basePlot.bbc,2024-04-18T10:01,,,25-095.1
D17,4/3/25,D1720250403134927140,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 8802 9895 1282,N,A00000399997,A10,BBC.SJER046958.2024.2-10.POOL.CN,B00000143974,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SJER_046.basePlot.bbc,2024-05-07T14:26,,,25-095.2
D17,4/3/25,D1720250403134927140,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 8802 9895 1282,N,A00000399997,A2,BBC.SJER045350.2024.1-2.POOL.CN,A00000397242,bbc_chemistryPooling_in.cnSampleID,standardSample,SJER_045.basePlot.bbc,2024-04-18T10:01,,,25-095.3
D17,4/3/25,D1720250403134927140,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 8802 9895 1282,N,A00000399997,A3,BBC.SJER045601.2024.0-1.POOL.CN,A00000397243,bbc_chemistryPooling_in.cnSampleID,standardSample,SJER_045.basePlot.bbc,2024-04-18T09:23,,,25-095.4
D17,4/3/25,D1720250403134927140,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 8802 9895 1282,N,A00000399997,A4,BBC.SJER045601.2024.1-2.POOL.CN,A00000397224,bbc_chemistryPooling_in.cnSampleID,standardSample,SJER_045.basePlot.bbc,2024-04-18T09:23,,,25-095.5
D17,4/3/25,D1720250403134927140,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 8802 9895 1282,N,A00000399997,A5,BBC.SJER046547.2024.0-1.POOL.CN,B00000143980,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SJER_046.basePlot.bbc,2024-05-07T13:59,,,25-095.6
D17,4/3/25,D1720250403134927140,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 8802 9895 1282,N,A00000399997,A6,BBC.SJER046547.2024.1-2.POOL.CN,B00000143978,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SJER_046.basePlot.bbc,2024-05-07T13:59,,,25-095.7
D17,4/3/25,D1720250403134927140,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 8802 9895 1282,N,A00000399997,A7,BBC.SJER046547.2024.2-10.POOL.CN,B00000143976,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SJER_046.basePlot.bbc,2024-05-07T13:59,,,25-095.8
D17,4/3/25,D1720250403134927140,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 8802 9895 1282,N,A00000399997,A8,BBC.SJER046958.2024.0-1.POOL.CN,B00000143979,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SJER_046.basePlot.bbc,2024-05-07T14:26,,,25-095.9
D17,4/3/25,D1720250403134927140,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 8802 9895 1282,N,A00000399997,A9,BBC.SJER046958.2024.1-2.POOL.CN,B00000143975,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SJER_046.basePlot.bbc,2024-05-07T14:26,,,25-095.10
