domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D20,10/28/25,D2020251028134012628,suehana@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Second day air,# 885568215146,N,BBC.PUUM031118.2025.0-1.POOL.CN,A00000314806,bbc_chemistryPooling_in.cnSampleID,standardSample,PUUM_031.basePlot.bbc,2025-06-30T14:08,,,26-019.1
D20,10/28/25,D2020251028134012628,suehana@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Second day air,# 885568215146,N,BBC.PUUM031118.2025.1-2.POOL.CN,A00000314802,bbc_chemistryPooling_in.cnSampleID,standardSample,PUUM_031.basePlot.bbc,2025-06-30T14:08,,,26-019.2
D20,10/28/25,D2020251028134012628,suehana@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Second day air,# 885568215146,N,BBC.PUUM031118.2025.2-10.POOL.CN,A00000314804,bbc_chemistryPooling_in.cnSampleID,standardSample,PUUM_031.basePlot.bbc,2025-06-30T14:08,,,26-019.3
D20,10/28/25,D2020251028134012628,suehana@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Second day air,# 885568215146,N,BBC.PUUM032061.2025.0-1.POOL.CN,A00000314683,bbc_chemistryPooling_in.cnSampleID,standardSample,PUUM_032.basePlot.bbc,2025-06-17T13:51,,,26-019.4
D20,10/28/25,D2020251028134012628,suehana@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Second day air,# 885568215146,N,BBC.PUUM032061.2025.1-2.POOL.CN,A00000314700,bbc_chemistryPooling_in.cnSampleID,standardSample,PUUM_032.basePlot.bbc,2025-06-17T13:51,,,26-019.5
D20,10/28/25,D2020251028134012628,suehana@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Second day air,# 885568215146,N,BBC.PUUM032061.2025.2-10.POOL.CN,A00000314684,bbc_chemistryPooling_in.cnSampleID,standardSample,PUUM_032.basePlot.bbc,2025-06-17T13:51,,,26-019.6
D20,10/28/25,D2020251028134012628,suehana@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Second day air,# 885568215146,N,BBC.PUUM033195.2025.0-1.POOL.CN,A00000314819,bbc_chemistryPooling_in.cnSampleID,standardSample,PUUM_033.basePlot.bbc,2025-06-23T12:47,,,26-019.7
D20,10/28/25,D2020251028134012628,suehana@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Second day air,# 885568215146,N,BBC.PUUM033195.2025.1-2.POOL.CN,A00000314792,bbc_chemistryPooling_in.cnSampleID,standardSample,PUUM_033.basePlot.bbc,2025-06-23T12:47,,,26-019.8
D20,10/28/25,D2020251028134012628,suehana@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Second day air,# 885568215146,N,BBC.PUUM033195.2025.2-10.POOL.CN,A00000314793,bbc_chemistryPooling_in.cnSampleID,standardSample,PUUM_033.basePlot.bbc,2025-06-23T12:47,,,26-019.9
D20,10/28/25,D2020251028134012628,suehana@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Second day air,# 885568215146,N,BBC.PUUM034114.2025.0-1.POOL.CN,A00000314838,bbc_chemistryPooling_in.cnSampleID,standardSample,PUUM_034.basePlot.bbc,2025-07-07T11:40,,,26-019.10
D20,10/28/25,D2020251028134012628,suehana@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Second day air,# 885568215146,N,BBC.PUUM034114.2025.1-2.POOL.CN,A00000314837,bbc_chemistryPooling_in.cnSampleID,standardSample,PUUM_034.basePlot.bbc,2025-07-07T11:40,,,26-019.11
