"Line","Identifier1","Identifier2","Method","Amount","PeakNr","IsRef_","StartN","EndN","AreaAllN","AmtPctN","BGD28","BGD29","Ampl28","Ampl29","rR29N2_28N2","d15N_14N","TimeCode","Comment","StartC","WidthC","AreaAllC","AmtPctC","BGD44","BGD45","BGD46","Ampl44","Ampl45","Ampl46","rR45CO2_44CO2","rR46CO2_44CO2","d13C_12C","d18O_16O","ln_AreaN","d15N_lc","d15N_cal","d13C_cal","Npct","Cpct","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","yieldQF","DataFile"
8,"24-252.22",NA,"N2_CO2+He_2.met",4.975,2,0,193.9,277.9,64.099,1.4754504,33.7,23.7,2456,1717,0.6985943,7.808,"2024/11/09 12:11:07","Bkgrnd 29: 32",314.6,116.2,261.901,1.6227457,0.1,0.2,1.7,7102,8023,9414,1.1064632,1.3247399,-37.221,22.622,4.16042876318091,7.88320912490686,4.33625241136881,-25.78418491921,2.26461616621226,47.8726752220807,0,0,0,0,0,"24-252.2-rerun.xls"
9,"24-252.23",NA,"N2_CO2+He_2.met",4.749,2,0,193.8,272.7,41.462,0.9998107,36,25.4,1568,1094,0.6971814,5.854,"2024/11/09 12:22:33","Bkgrnd 30: N/A",314.3,112.6,266.831,1.7319658,0.3,0.3,2,7190,8111,9524,1.1056727,1.324216,-38.248,22.012,3.72477734511092,6.12432198820019,2.50832403502854,-26.8787143177738,1.53456225505238,51.094921947818,0,0,0,0,0,"24-252.2-rerun.xls"
10,"24-252.24",NA,"N2_CO2+He_2.met",4.519,2,0,194.6,272.5,35.895,0.9096147,36.5,25.9,1321,921,0.6967362,5.275,"2024/11/09 12:33:59","Primary He: 2400",314.8,110.3,255.184,1.7406698,0.3,0.4,2.1,6975,7860,9239,1.1050549,1.324465,-39.223,22.103,3.58059801002845,5.60989481346562,1.973704154859,-27.9178245062837,1.39613704398068,51.3516881395617,0,0,0,0,0,"24-252.2-rerun.xls"
11,"24-252.25",NA,"N2_CO2+He_2.met",5.069,2,0,193.5,272.1,41.536,0.9383615,37,26.1,1555,1085,0.6972745,6.096,"2024/11/09 12:45:25","Secondary He: 2500",313.8,113.1,285.736,1.7375932,0.3,0.4,2.1,7548,8495,9997,1.1032934,1.3242099,-40.733,22.083,3.72656052108162,6.36552336674513,2.75899324230936,-29.5271131059246,1.44025308346949,51.2609080798443,0,0,0,0,0,"24-252.2-rerun.xls"
13,"24-252.26",NA,"N2_CO2+He_2.met",5.388,2,0,193.1,274.8,54.032,1.148383,37,26,2129,1486,0.6976509,6.741,"2024/11/09 13:08:17","Peak Center: 58486",311.4,122.2,297.502,1.7020348,0.2,0.2,1.9,7848,8879,10394,1.107087,1.3242998,-37.574,21.854,3.98957646364321,6.89272782765947,3.30689195287865,-26.1603960951526,1.76262485702125,50.2118159729998,0,0,0,0,0,"24-252.2-rerun.xls"
14,"24-252.27",NA,"N2_CO2+He_2.met",4.82,2,0,193.1,274.1,50.861,1.2083767,38.1,27,1902,1327,0.6973739,6.298,"2024/11/09 13:19:42","Job No-24-252.2-rerun",315,111.8,254.049,1.6247142,0.4,0.5,2.2,6908,7797,9152,1.1068407,1.3250565,-37.673,22.515,3.92909642161743,6.47681469959949,2.87465307125445,-26.2659057450628,1.85470264221685,47.930733737694,0,0,0,0,0,"24-252.2-rerun.xls"
15,"24-252.28",NA,"N2_CO2+He_2.met",4.875,2,0,193.4,276.2,57.904,1.3602004,38.6,27.2,2168,1512,0.6971038,6.026,"2024/11/09 13:31:08","Oxygen Tank: 1800",314.8,113.9,274.071,1.7329837,0.4,0.4,2.3,7307,8244,9679,1.1057754,1.3244311,-38.803,21.846,4.05878646682139,6.14673111485532,2.53161278258208,-27.4702078096948,2.08771100178631,51.1248551089306,0,0,0,0,0,"24-252.2-rerun.xls"
16,"24-252.29",NA,"N2_CO2+He_2.met",5.434,2,0,193.3,275,54.505,1.1486491,38.8,27.4,2108,1469,0.6962507,4.382,"2024/11/09 13:42:34","CO2 Peak Center: 9",313.2,118.4,292.482,1.6591488,0.3,0.4,2.1,7721,8713,10221,1.1053765,1.3238115,-39.11,21.528,3.99829244058032,4.52982424983082,0.85123780069909,-27.7973942998205,1.76300337636623,48.9466682915454,0,0,0,0,0,"24-252.2-rerun.xls"
19,"24-252.30",NA,"N2_CO2+He_2.met",4.922,2,0,193.3,276.5,61.646,1.4342709,37.4,26.3,2346,1635,0.6963432,4.663,"2024/11/09 14:16:52",NA,314.5,115.1,261.413,1.6371581,0.2,0.3,2,7107,8028,9420,1.1077759,1.3252989,-37.056,22.365,4.12140834510475,4.7556849902018,1.08596420685064,-25.608335502693,2.20140387555039,48.2980056077323,0,0,0,0,0,"24-252.2-rerun.xls"
20,"24-252.31",NA,"N2_CO2+He_2.met",4.712,2,0,193.1,276.8,59.906,1.4559034,38.9,27.4,2273,1585,0.6968334,5.442,"2024/11/09 14:28:18",NA,314.6,113.9,261.552,1.7110308,0.3,0.4,2.2,7104,8011,9411,1.1056467,1.324922,-38.912,22.175,4.09277666704994,5.54750810624012,1.90886859488244,-27.586375,2.23460864464005,50.4773316861851,0,0,0,0,0,"24-252.2-rerun.xls"
21,"24-252.32",NA,"N2_CO2+He_2.met",5.43,2,0,193.6,275.5,52.454,1.1062241,39.2,27.7,1967,1372,0.6968679,5.626,"2024/11/09 14:39:44",NA,313.2,118.8,302.713,1.71845,0.3,0.4,2.1,7867,8877,10419,1.1049258,1.3241829,-39.825,21.463,3.95993659504214,5.79100247658868,2.16192080030856,-28.559408438061,1.69791215143784,50.6961370717893,0,0,0,0,0,"24-252.2-rerun.xls"
22,"24-252.33",NA,"N2_CO2+He_2.met",5.095,2,0,193.3,277.2,61.417,1.3804123,39.3,27.7,2328,1625,0.6976572,6.634,"2024/11/09 14:51:10",NA,315.1,113.1,259.275,1.5686389,0.4,0.5,2.3,7035,7938,9318,1.1069334,1.3249142,-37.745,22.183,4.11768666979502,6.72835179695558,3.13606370321823,-26.3426400359066,2.11875550862352,46.2764547786652,0,0,0,0,0,"24-252.2-rerun.xls"
24,"24-252.34",NA,"N2_CO2+He_2.met",4.784,2,0,194.4,273.2,38.916,0.9315374,38.4,27,1422,995,0.6989468,8.528,"2024/11/09 15:14:02",NA,315.4,113.1,270.567,1.7433729,0.3,0.4,2,7169,8078,9500,1.1050942,1.3250259,-39.433,22.288,3.66140547711318,8.82670400672331,5.31678210620376,-28.1416328545781,1.4297939592185,51.4312738592249,0,0,0,0,0,"24-252.2-rerun.xls"
25,"24-252.35",NA,"N2_CO2+He_2.met",4.952,2,0,193.9,273.3,39.407,0.9112989,39.2,27.7,1404,981,0.6985587,7.926,"2024/11/09 15:25:29",NA,314.6,111.8,256.43,1.5962276,0.4,0.4,2.3,6917,7796,9164,1.1059665,1.3252491,-38.564,22.474,3.67394346549795,8.21908868513311,4.68531618377199,-27.2154925942549,1.39871480570356,47.0903395714161,0,0,0,0,0,"24-252.2-rerun.xls"
26,"24-252.36",NA,"N2_CO2+He_2.met",4.642,2,0,193.9,276.1,50.686,1.2504059,39.2,27.7,1855,1296,0.6984284,7.739,"2024/11/09 15:36:55",NA,315.2,113.5,257.945,1.7128806,0.3,0.4,2.2,6988,7885,9256,1.1071182,1.3249656,-37.46,22.316,3.9256497383428,7.91935834714587,4.37382059168824,-26.0389001346499,1.91919594456277,50.5318971637495,0,0,0,0,0,"24-252.2-rerun.xls"
27,"24-252.37",NA,"N2_CO2+He_2.met",5.063,2,0,193.4,275,48.116,1.0882905,39.5,27.9,1799,1257,0.6981141,7.255,"2024/11/09 15:48:21",NA,314.4,115,281.809,1.7157439,0.4,0.4,2.2,7419,8351,9827,1.1032582,1.3245894,-41.204,21.909,3.87361476213183,7.45866297276812,3.89504163532463,-30.0290832585278,1.67039054456234,50.6163188570728,0,0,0,0,0,"24-252.2-rerun.xls"
