"Line","Identifier1","Identifier2","Method","Amount","PeakNr","IsRef_","StartN","EndN","AreaAllN","AmtPctN","BGD28","BGD29","Ampl28","Ampl29","rR29N2_28N2","d15N_14N","TimeCode","Comment","StartC","WidthC","AreaAllC","AmtPctC","BGD44","BGD45","BGD46","Ampl44","Ampl45","Ampl46","rR45CO2_44CO2","rR46CO2_44CO2","d13C_12C","d18O_16O","ln_AreaN","d13C_dc","d15N_dc","d15N_lc","d15N_cal","d13C_cal","Npct","Cpct","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","yieldQF","DataFile"
7,"24-333.32",NA,"N2_CO2+He_2.met",5.213,2,0,193.6,276.6,69.707,1.5312759,23.3,16.7,2574,1789,0.6949621,2.767,"2024/11/19 13:13:49","Bkgrnd 29: 32",314.5,102.6,276.335,1.6340085,0.1,0.1,1.7,7333,8249,9715,1.1027915,1.3235765,-40.343,22.273,4.24430074313975,-40.343,2.58824342509524,-0.423435371686744,-0.843467614873026,-29.0718907094067,2.36776638728171,48.2946619284233,0,0,0,0,0,"241119_24-333.2.xls"
8,"24-333.33",NA,"N2_CO2+He_2.met",5.053,2,0,194.5,274.7,35.514,0.804863,23.7,17,1258,871,0.6926533,-0.343,"2024/11/19 13:25:14","Bkgrnd 30: N/A",314.5,125.1,283.087,1.7269361,0.2,0.2,1.8,6902,7751,9132,1.1019332,1.3231735,-41.038,22.264,3.56992698493664,-41.038,-0.547293228462578,-3.70332304015032,-3.99841075913444,-29.8086546274387,1.24451597523028,51.0412836206975,0,0,0,0,0,"241119_24-333.2.xls"
9,"24-333.34",NA,"N2_CO2+He_2.met",5.038,2,0,193.5,274.6,61.998,1.4092532,23.6,17,2321,1610,0.6935508,1.068,"2024/11/19 13:36:40","Primary He: 2400",313.8,101.4,276.115,1.6894193,0.2,0.2,1.8,7418,8358,9801,1.1041285,1.3210282,-38.721,20.449,4.12710212646027,-38.721,0.8381701179796,-2.19859527070702,-2.55100431109327,-27.3524215366757,2.17906256728611,49.9324409677972,0,0,0,0,0,"241119_24-333.2.xls"
10,"24-333.35",NA,"N2_CO2+He_2.met",5.202,2,0,193.5,273.7,43.051,0.9477183,23.8,17.1,1566,1087,0.6937701,1.247,"2024/11/19 13:48:06","Secondary He: 2500",313.4,105.2,287.091,1.7011983,0.2,0.2,1.9,7369,8283,9734,1.1022076,1.3205401,-40.524,20.104,3.76238545940767,-40.524,0.991633464421777,-2.12320023638655,-2.47848138632123,-29.2637673556855,1.46542325669697,50.2805697444732,0,0,0,0,0,"241119_24-333.2.xls"
12,"24-333.36",NA,"N2_CO2+He_2.met",5.107,2,0,193.9,279.1,55.316,1.2403742,23.6,16.9,1978,1372,0.6938802,1.554,"2024/11/19 14:10:57","Peak Center: 58486",314.7,109.2,287.26,1.7338632,0.1,0.2,1.9,7124,8015,9419,1.1037218,1.3214525,-38.969,20.846,4.01306219760241,-38.969,1.24756015730613,-1.81361570001182,-2.18069020889888,-27.6153243448368,1.9179403401137,51.2460337501434,0,0,0,0,0,"241119_24-333.2.xls"
13,"24-333.37",NA,"N2_CO2+He_2.met",5.238,2,0,194.4,272.3,33.347,0.7290428,23.9,17.2,1206,834,0.6915501,-1.811,"2024/11/19 14:22:23","Job No-24-333.2",313.4,122.7,293.015,1.7243678,0.2,0.2,1.9,7253,8166,9580,1.1037584,1.32139,-38.948,20.992,3.50696781329295,-38.948,-2.14297649625169,-5.31248284111387,-5.5462709894969,-27.5930624135006,1.1273050671357,50.9653861624774,0,0,0,0,0,"241119_24-333.2.xls"
14,"24-333.38",NA,"N2_CO2+He_2.met",5.148,2,0,193,283.9,63.999,1.4236525,23.7,17.1,2230,1548,0.6940505,1.829,"2024/11/19 14:33:49","Oxygen Tank: 1800",314.9,113.9,289.887,1.7357869,0.2,0.3,2,6884,7724,9088,1.1018315,1.3205916,-40.825,20.186,4.1588674582376,-40.825,1.47148685019049,-1.55847910743124,-1.93527282727575,-29.5828550381713,2.20132838451208,51.3028109787727,0,0,0,0,0,"241119_24-333.2.xls"
15,"24-333.39",NA,"N2_CO2+He_2.met",5.023,2,0,194,283.3,43.003,0.980409,24,17.3,1397,968,0.6932978,0.705,"2024/11/19 14:45:15","CO2 Peak Center: 9",315.2,113.7,281.039,1.7246808,0.2,0.3,2.1,6695,7516,8840,1.1028907,1.3206378,-39.796,20.247,3.76126988070179,-39.796,0.321950196632666,-2.79312229596796,-3.12288333623798,-28.4920204026965,1.51595307976129,50.9746641755085,0,0,0,0,0,"241119_24-333.2.xls"
18,"24-333.40",NA,"N2_CO2+He_2.met",5.07,2,0,194.9,284.8,40.211,0.9082488,23.5,16.8,1336,929,0.6950374,3.197,"2024/11/19 15:19:33",NA,315.9,128.6,284.179,1.7277871,0.2,0.2,2,6636,7467,8774,1.1046598,1.3221784,-38.139,21.461,3.69414059003541,-38.139,2.7373402359592,-0.392101411905439,-0.813327295573341,-26.7354480110719,1.40438796139714,51.0663693834557,0,0,0,0,0,"241119_24-333.2.xls"
19,"24-333.41",NA,"N2_CO2+He_2.met",5.154,2,0,193.4,273.3,56.082,1.2460877,24,17.3,2129,1475,0.6926668,-0.267,"2024/11/19 15:30:59",NA,312.9,103.7,290.061,1.7348045,0.2,0.2,2,7618,8584,10064,1.1036774,1.3205236,-38.982,20.253,4.0268149054285,-38.982,-0.752196417598623,-3.81042848105116,-4.10143610958538,-27.6291055404259,1.92676727975754,51.2738449382435,0,0,0,0,0,"241119_24-333.2.xls"
20,"24-333.42",NA,"N2_CO2+He_2.met",5.216,2,0,193.3,277.3,70.863,1.5557737,23.9,17.3,2621,1816,0.6928513,0.016,"2024/11/19 15:42:25",NA,313.7,104.5,284.946,1.6839575,0.2,0.3,2.1,7408,8326,9782,1.101194,1.3202774,-41.094,20.113,4.26074843554368,-41.094,-0.494733071156446,-3.50289120738116,-3.80561420614059,-29.8680197776686,2.40564830254886,49.7709513418226,0,0,0,0,0,"241119_24-333.2.xls"
21,"24-333.43",NA,"N2_CO2+He_2.met",5.102,2,0,194.9,271.8,32.23,0.7234055,24,17.3,1173,811,0.6916261,-1.69,"2024/11/19 15:53:51",NA,313.8,117.1,282.512,1.70688,0.2,0.3,2.1,7146,8046,9433,1.103833,1.3205702,-38.629,20.482,3.47289769582735,-38.629,-2.22626972471427,-5.40306884450177,-5.633406196322,-27.2548930755837,1.11858768817916,50.4484009866429,0,0,0,0,0,"241119_24-333.2.xls"
