"Line","Identifier1","Identifier2","Method","Amount","PeakNr","IsRef_","StartN","EndN","AreaAllN","AmtPctN","BGD28","BGD29","Ampl28","Ampl29","rR29N2_28N2","d15N_14N","TimeCode","Comment","StartC","WidthC","AreaAllC","AmtPctC","BGD44","BGD45","BGD46","Ampl44","Ampl45","Ampl46","rR45CO2_44CO2","rR46CO2_44CO2","d13C_12C","d18O_16O","ln_AreaN","ln_AreaC","d13C_dc","d15N_dc","d15N_lc","d13C_lc","d15N_cal","d13C_cal","Npct","Cpct","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","yieldQF","DataFile"
7,"24-251.1",NA,"N2_CO2+He_2.met",5.117,2,0,192.6,279.4,99.616,2.2293714,32.1,22.5,3792,2646,0.6972919,6.179,"2024/11/17 12:35:28","Bkgrnd 29: 32",314.7,103.9,252.616,1.5217788,0.1,0.1,1.8,6976,7969,9241,1.11943,1.324035,-24.629,22.931,4.6013227942592,5.53187054916141,-24.629,6.179,6.179,-24.629,2.97638888888889,-11.8067401013584,3.30913182471959,44.8072872157955,0,1,0,0,0,"241117_24-251-252.1-RERUN.xls"
8,"24-251.2",NA,"N2_CO2+He_2.met",5.113,2,0,192.5,280.5,109.475,2.451929,33.2,23.4,4185,2927,0.6990425,8.814,"2024/11/17 12:46:54","Bkgrnd 30: N/A",314.5,103.5,258.535,1.5586505,0.2,0.2,2,7134,8152,9440,1.1195804,1.3230738,-24.465,22.085,4.69569621268746,5.55503108130158,-24.465,8.814,8.814,-24.465,5.72118055555556,-11.626508226691,3.6394817623588,45.8930336457976,0,1,0,0,0,"241117_24-251-252.1-RERUN.xls"
9,"24-251.3",NA,"N2_CO2+He_2.met",5.09,2,0,191.9,281.1,118.67,2.6698769,34,24,4523,3137,0.6932183,0.65,"2024/11/17 12:58:19","Primary He: 2400",314,103.3,252.288,1.5278664,0.2,0.3,2.1,7027,8029,9294,1.1192474,1.3227606,-24.881,21.709,4.77634653167705,5.5305712920902,-24.881,0.65,0.65,-24.881,-2.78298611111111,-12.0836817624326,3.96299520021951,44.9864813165672,0,1,0,0,0,"241117_24-251-252.1-RERUN.xls"
10,"24-251.4",NA,"N2_CO2+He_2.met",5.477,2,0,192.1,280.4,116.822,2.4425762,34.7,24.5,4509,3142,0.6967517,5.548,"2024/11/17 13:09:45","Secondary He: 2500",313.2,104.5,278.924,1.5698154,0.2,0.3,2.1,7536,8616,9966,1.1193597,1.3223617,-24.792,21.415,4.76065140882172,5.63093934327966,-24.792,5.548,5.548,-24.792,2.31909722222222,-11.9858730011802,3.62561998839862,46.2217471745963,0,1,0,0,0,"241117_24-251-252.1-RERUN.xls"
12,"24-251.5",NA,"N2_CO2+He_2.met",5.268,2,0,192.2,279.6,110.401,2.3999146,35.2,24.8,4244,2958,0.6966537,5.624,"2024/11/17 13:32:35","Peak Center: 58486",313.7,102.4,259.966,1.5211654,0.1,0.2,1.9,7203,8232,9538,1.1195147,1.3234942,-24.644,22.315,4.70411919177299,5.56055085323372,-24.644,5.624,5.624,-24.644,2.39826388888889,-11.8232247240414,3.56227651087218,44.7892715886142,0,1,0,0,0,"241117_24-251-252.1-RERUN.xls"
13,"24-251.6",NA,"N2_CO2+He_2.met",5.261,2,0,192.5,279.5,105.221,2.2903523,35.6,25.1,3957,2749,0.6946144,2.416,"2024/11/17 13:44:01","Job No-24-3251-252.1-rerun",314.3,101.9,261.355,1.5313261,0.2,0.3,2.1,7194,8224,9519,1.1198724,1.3230297,-24.376,21.807,4.6560629001541,5.56587963640887,-24.376,2.416,2.416,-24.376,-0.943402777777777,-11.5286994654386,3.39965236004904,45.0884935298804,0,1,0,0,0,"241117_24-251-252.1-RERUN.xls"
14,"24-251.7",NA,"N2_CO2+He_2.met",5.172,2,0,194.8,270.8,30.339,0.6717472,35.9,25.4,1124,781,0.6940569,1.586,"2024/11/17 13:55:27","Oxygen Tank: 1800",315.4,100.9,237.146,1.4133962,0.2,0.3,2.2,6530,7339,8638,1.1033069,1.3235228,-39.814,22.293,3.41243401358814,5.4686759852195,-39.814,1.586,1.586,-39.814,-1.80798611111111,-28.4946731307708,0.997110138335633,41.6160159607824,0,1,0,0,0,"241117_24-251-252.1-RERUN.xls"
15,"24-251.8",NA,"N2_CO2+He_2.met",5.498,2,0,193.3,274.7,60.147,1.2527912,36.2,25.7,2325,1617,0.695177,3.126,"2024/11/17 14:06:53","CO2 Peak Center: 9",314.1,102.7,267.349,1.4989223,0.3,0.4,2.4,7268,8179,9614,1.1023781,1.322747,-40.582,21.737,4.09679156586515,5.58855492097256,-40.582,3.126,3.126,-40.582,-0.203819444444444,-29.3386858121399,1.85955754067031,44.1343812615952,0,1,0,0,0,"241117_24-251-252.1-RERUN.xls"
18,"24-251.9",NA,"N2_CO2+He_2.met",5.45,2,0,194,272.9,46.295,0.9727611,35.5,25.1,1759,1221,0.6938694,1.484,"2024/11/17 14:41:11",NA,314.7,101.3,252.978,1.4308422,0.1,0.2,2,6926,7798,9172,1.1041119,1.3239618,-39.008,22.549,3.83503396390001,5.53330252842484,-39.008,1.484,1.484,-39.008,-1.91423611111111,-27.6088994052716,1.4439028461817,42.1298066945319,0,1,0,0,0,"241117_24-251-252.1-RERUN.xls"
19,"24-251.10",NA,"N2_CO2+He_2.met",5.28,2,0,194.2,270.7,33.962,0.7365968,36.6,26.1,1270,883,0.6949697,3.078,"2024/11/17 14:52:37",NA,314.9,100.8,244.546,1.4276858,0.5,0.6,2.3,6721,7552,8894,1.1028011,1.3236907,-40.284,22.32,3.52524225252411,5.4994034302783,-40.284,3.078,3.078,-40.284,-0.253819444444443,-29.0111913081711,1.09335128931893,42.0368199823172,0,1,0,0,0,"241117_24-251-252.1-RERUN.xls"
