"analysisDate","sampleID","sampleCode","sampleType","internalLabID","runID","acidTreatment","co2Trapped","nitrogenPercent","carbonPercent","CNratio","d15N","d13C","analyticalRepNumber","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","remarks","testMethod","instrument","analyzedBy","reviewedBy"
"20251007","BBC.DELA037144.2024.0-1.POOL.CN","A00000461006","vegetation","25-096.1","25-096.3","","N",1.21546307862875,53.26322950648,43.8213471416754,5.35480899970957,-28.6491924359715,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20250930","BBC.DELA038705.2024.0-1.POOL.CN","A00000461554","vegetation","25-096.10","25-096.1","","N",1.41537020997274,48.6940558118341,34.4037591498919,0.366498637964162,-28.7978312774645,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20251003","BBC.DELA054678.2024.0-1.POOL.CN","A00000461018","vegetation","25-096.100","25-096.2","","N",0.976728955727022,49.1410025501463,50.3118109297461,2.63736512482808,-29.7577428879043,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20251003","BBC.DELA054678.2024.1-2.POOL.CN","A00000461008","vegetation","25-096.101","25-096.2","","N",0.770257728093637,53.0945127914247,68.9308407496695,2.64419342890785,-28.9294099913219,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20251003","BBC.DELA054678.2024.2-10.POOL.CN","A00000460998","vegetation","25-096.102","25-096.2","","N",0.604986094825757,49.6406571199174,82.0525588017266,4.60778910499146,-33.3772828435866,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20251008","BBC.DELA055602.2024.0-1.POOL.CN","A00000460988","vegetation","25-096.103","25-096.4","","N",1.51637910080276,49.3964745796079,32.5752805175551,0.00087962278372633,-27.9764527950041,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20251003","BBC.DELA055602.2024.1-2.POOL.CN","A00000460970","vegetation","25-096.104","25-096.2","","N",0.918201285656334,49.7017658307919,54.1294883891007,1.27303477165917,-28.8938239569099,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20251008","BBC.DELA055602.2024.2-10.POOL.CN","A00000460964","vegetation","25-096.105","25-096.4","","N",0.707980703012704,52.6347171534409,74.3448471539717,1.48342245198408,-28.189610997875,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20251003","BBC.DELA055806.2024.0-1.POOL.CN","A00000461246","vegetation","25-096.106","25-096.2","","N",1.33007793580512,46.4673779140368,34.9358309488152,1.17279975461499,-28.0838006233657,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20251003","BBC.DELA055806.2024.1-2.POOL.CN","A00000461236","vegetation","25-096.107","25-096.2","","N",0.871832522626793,48.7136072426563,55.8749599015696,1.44522810560202,-27.1313695773021,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
